transform_mode,wavelet,level,threshold_method,low_threshold_ratio,use_gradient_assist,gradient_weight,gradient_mode,use_nms,use_morphological_closing,use_thinning,min_object_size,level_weights,precision,recall,f1_score,tolerance_radius,percentile
dwt,haar,1,percentile,0.4,True,0.15,multiply,True,False,False,20,,0.22059960450799587,0.18674317367624135,0.20059551354141003,1,90.0
dwt,haar,1,percentile,0.3,True,0.15,multiply,True,False,False,20,,0.20910424576073963,0.18681304653540173,0.1955921038621015,1,90.0
dwt,haar,1,percentile,0.6,True,0.15,multiply,True,False,True,20,,0.24336140898391978,0.16236961803591668,0.19371939653433698,1,90.0
dwt,haar,1,percentile,0.5,True,0.15,multiply,True,False,True,20,,0.24230451044690127,0.16236961803591668,0.19348888078368698,1,90.0
dwt,haar,1,percentile,0.4,True,0.15,multiply,True,False,True,20,,0.22963832847373497,0.16319030103998264,0.1894543787185544,1,90.0
dwt,haar,1,percentile,0.3,True,0.15,multiply,True,False,True,20,,0.21806092340116465,0.16329781229617488,0.18546660531428585,1,90.0
dwt,haar,1,otsu,0.5,True,0.15,multiply,True,False,False,20,,0.738371459653571,0.06269387648076093,0.10982653755128802,1,
dwt,haar,1,otsu,0.6,True,0.15,multiply,True,False,False,20,,0.7459078494693615,0.062106926509321314,0.10971615253525169,1,
dwt,haar,1,otsu,0.3,True,0.15,multiply,True,False,False,20,,0.7259788118640836,0.06327018933648365,0.10932333987008912,1,
dwt,haar,1,otsu,0.4,True,0.15,multiply,True,False,False,20,,0.7308980912917816,0.06281551433074706,0.10931472677756533,1,
dwt,haar,1,otsu,0.5,True,0.15,multiply,True,False,True,20,,0.7429712260008247,0.06163460001712726,0.10872393148923142,1,
dwt,haar,1,otsu,0.6,True,0.15,multiply,True,False,True,20,,0.7504529525674561,0.0611011026375974,0.10857478044005338,1,
dwt,haar,1,otsu,0.3,True,0.15,multiply,True,False,True,20,,0.7302887427690815,0.062132820524671915,0.10822062935513421,1,
dwt,haar,1,otsu,0.4,True,0.15,multiply,True,False,True,20,,0.7354642527191589,0.06167808082064006,0.10815298313308536,1,
