image_name,precision,recall,f1_score,tolerance_radius
106025.jpg,0.22127478149648264,0.13035288207961823,0.164058795637743,1.0
253036.jpg,0.17981462409886714,0.22669436509997404,0.2005513439007581,1.0
299091.jpg,0.11754716981132075,0.13055322715842413,0.12370929308975376,1.0
mean,0.17287885846889017,0.16253349144600546,0.16277314420941827,1.0
