image_name,precision,recall,f1_score,tolerance_radius
106025.jpg,0.27350305788650264,0.27837290098436596,0.27591649329220175,1.0
253036.jpg,0.28631284916201116,0.6299078183680437,0.3936839859169956,1.0
299091.jpg,0.17291666666666666,0.3140222274769449,0.2230246032412461,1.0
mean,0.24424419123839347,0.4074343156097848,0.2975416941501478,1.0
